ind,n,平均跟外資12M
建材營造,55,0.09949240225412449
水泥工業,16,0.07303280903949988
鋼鐵工業,46,0.07300392873492935
光電業,72,0.034409588377683514
半導體業,385,0.027900736943734676
其他,34,0.024869119268736344
電機機械,49,0.02416729170585673
航運業,45,0.021852802094295524
汽車工業,32,0.020938380831431114
運動休閒,35,0.02020430112213367
金融業,133,0.008876704359228818
電子通路業,37,0.00590404131395568
紡織纖維,24,0.0029768577716233944
通訊網路業,69,-0.005653416206724595
塑膠工業,20,-0.05409981368855286
電腦及週邊設備業,128,-0.05831313669935692
電子零組件,163,-0.06863058478301848
其他電子業,69,-0.0823178323918179
化學工業,22,-0.10213524036764693
