ind,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
金融業,31.428571428571427,30.878859857482183,20.31602708803612,17.48878923766816,23.70689655172414,15.833333333333332,17.5,15.208333333333332,15.208333333333332,20.0,19.91869918699187,24.796747967479675,24.59349593495935,24.390243902439025,28.252032520325205,28.65853658536585
水泥工業,25.0,33.33333333333333,23.809523809523807,19.047619047619047,21.428571428571427,16.666666666666664,11.904761904761903,13.095238095238097,9.523809523809524,15.476190476190476,15.476190476190476,19.047619047619047,25.0,26.190476190476193,19.047619047619047,16.666666666666664
半導體業,15.478761699064075,13.870094722598106,12.56578947368421,10.542929292929292,11.78985949908369,10.738636363636363,9.955995599559957,12.60229132569558,12.078059071729957,12.525458248472503,12.438302073050346,17.07897240723121,16.218721037998147,16.840199185151654,19.66855647623201,17.002518891687657
橡膠工業,30.0,23.333333333333332,24.166666666666668,19.166666666666668,15.833333333333332,17.5,10.236220472440944,3.787878787878788,3.0303030303030303,9.090909090909092,9.090909090909092,7.575757575757576,12.121212121212121,9.848484848484848,9.848484848484848,3.0303030303030303
運動休閒,15.625,12.068965517241379,11.282051282051283,13.23529411764706,13.397129186602871,13.574660633484163,8.368200836820083,6.198347107438017,5.158730158730158,14.285714285714285,14.624505928853754,12.087912087912088,13.043478260869565,17.02898550724638,16.610169491525422,13.043478260869565
汽車工業,20.089285714285715,15.708812260536398,15.037593984962406,18.40277777777778,20.192307692307693,17.177914110429448,15.363128491620111,11.989100817438691,7.216494845360824,7.575757575757576,6.403940886699508,6.490384615384616,9.047619047619047,6.572769953051644,8.4070796460177,9.766454352441615
航運業,23.91304347826087,26.353790613718413,13.84083044982699,11.666666666666666,12.052117263843648,11.728395061728394,5.246913580246913,4.9275362318840585,4.022988505747127,11.461318051575931,10.0,8.333333333333332,9.30232558139535,14.14141414141414,12.31527093596059,14.950980392156863
塑膠工業,20.075757575757574,22.962962962962962,12.318840579710146,16.60649819494585,14.23611111111111,10.069444444444445,10.416666666666668,6.944444444444445,11.072664359861593,10.333333333333334,7.666666666666666,8.0,12.0,8.666666666666668,9.333333333333334,5.0
造紙工業,26.38888888888889,22.22222222222222,16.666666666666664,9.722222222222223,9.722222222222223,12.5,2.7777777777777777,6.944444444444445,4.166666666666666,6.944444444444445,12.0,8.333333333333332,11.904761904761903,9.523809523809524,8.333333333333332,11.904761904761903
電腦及週邊設備業,14.985590778097983,10.04739336492891,8.71177015755329,9.377817853922453,11.466666666666667,10.03584229390681,9.281961471103326,7.29431721798134,5.669679539852095,8.333333333333332,9.546925566343042,9.186140209508462,12.86970423661071,12.677165354330707,12.996108949416344,13.734567901234568
貿易百貨,21.666666666666668,23.577235772357724,17.93103448275862,12.42603550295858,14.444444444444443,7.777777777777778,4.945054945054945,4.568527918781726,2.4390243902439024,6.018518518518518,1.8518518518518516,2.314814814814815,6.018518518518518,8.333333333333332,6.018518518518518,5.555555555555555
玻璃陶瓷,29.166666666666668,24.528301886792452,10.16949152542373,5.0,13.333333333333334,3.3333333333333335,8.333333333333332,1.6666666666666667,3.3333333333333335,3.3333333333333335,0.0,8.333333333333332,8.333333333333332,5.0,8.333333333333332,8.333333333333332
通訊網路業,11.055276381909549,13.096695226438188,10.012062726176115,9.396751740139212,8.296943231441048,10.0,9.007164790174002,7.6,4.52755905511811,6.568627450980393,5.95703125,6.297709923664121,7.007575757575757,6.941838649155723,9.099437148217635,10.654205607476635
食品工業,16.4983164983165,19.333333333333332,11.18421052631579,10.256410256410255,9.907120743034056,7.716049382716049,7.2727272727272725,4.761904761904762,4.761904761904762,6.927710843373494,4.761904761904762,7.142857142857142,6.876790830945559,4.1551246537396125,4.404145077720207,4.668304668304668
電子零組件,11.749873928391326,8.901790033865506,7.0142180094786735,6.2643942883463835,7.922136713444998,6.80089485458613,3.871829105473965,6.079295154185022,5.58659217877095,7.364836100468285,6.846999154691462,6.5696465696465705,7.236842105263158,7.6672104404567705,9.951456310679612,10.343450479233226
其他電子業,9.195402298850574,11.03448275862069,6.412005457025921,6.33245382585752,9.32642487046632,6.658291457286432,6.569343065693431,6.7695961995249405,5.429864253393665,6.415929203539823,6.182212581344902,3.954214360041623,5.824284304047384,7.238095238095238,8.12785388127854,10.39426523297491
光電業,15.321756894790603,10.813308687615526,10.666666666666668,8.635578583765112,6.823925863521482,4.4657097288676235,4.205607476635514,4.422032583397983,4.250386398763524,5.495356037151703,4.861111111111112,4.341203351104341,5.317577548005908,5.0,7.2202166064981945,6.0344827586206895
電子通路業,12.5,10.049019607843137,7.107843137254902,4.901960784313726,4.411764705882353,5.392156862745098,3.1862745098039214,3.1862745098039214,2.8708133971291865,4.0476190476190474,3.953488372093023,5.092592592592593,7.87037037037037,9.027777777777777,12.5,11.574074074074074
鋼鐵工業,10.860655737704917,10.912698412698413,5.502846299810247,4.545454545454546,6.591337099811676,3.153988868274583,2.0072992700729926,2.1739130434782608,6.375227686703097,4.553734061930783,4.787234042553192,5.28169014084507,6.597222222222222,7.304347826086957,9.330985915492958,7.8125
居家生活,8.530805687203792,7.207207207207207,5.88235294117647,8.333333333333332,11.666666666666666,10.714285714285714,7.251908396946565,6.4393939393939394,5.319148936170213,4.716981132075472,3.519061583577713,1.3774104683195594,2.631578947368421,2.056555269922879,5.7356608478802995,5.952380952380952
紡織纖維,10.800744878957168,11.623616236162361,6.909090909090909,9.66010733452594,7.104795737122557,7.5438596491228065,4.609929078014184,3.8194444444444446,4.21792618629174,4.130808950086059,3.833333333333333,3.833333333333333,3.7828947368421053,3.776683087027915,4.166666666666666,3.205128205128205
油電燃氣業,13.88888888888889,12.5,6.944444444444445,2.7777777777777777,6.944444444444445,3.4722222222222223,5.555555555555555,4.861111111111112,2.083333333333333,5.555555555555555,2.083333333333333,4.861111111111112,6.25,3.4722222222222223,5.555555555555555,4.861111111111112
電機機械,6.808510638297872,8.906882591093117,6.435006435006435,7.466340269277846,9.897610921501707,6.371490280777538,5.931321540062435,3.816046966731898,3.4648700673724733,4.855275443510738,2.3787740164684354,3.2432432432432434,3.6347517730496453,5.030891438658429,5.499153976311337,5.134680134680135
電器電纜,14.723926380368098,15.476190476190476,9.770114942528735,6.282722513089005,5.82010582010582,1.0416666666666665,1.5625,2.083333333333333,4.166666666666666,1.5873015873015872,3.6458333333333335,1.0416666666666665,6.25,4.166666666666666,5.5,4.411764705882353
化學工業,9.018567639257293,11.11111111111111,8.521303258145362,8.333333333333332,4.761904761904762,5.213270142180095,3.4482758620689653,1.3215859030837005,2.564102564102564,3.404255319148936,2.6859504132231407,2.2357723577235773,5.040322580645161,5.555555555555555,6.746031746031746,7.341269841269842
其他,8.050847457627118,8.02139037433155,6.546854942233633,7.6923076923076925,7.013301088270858,6.127167630057803,4.500548847420418,3.8262668045501553,3.242147922998987,3.270564915758176,3.042198233562316,2.7450980392156863,4.549854791868345,2.6951672862453533,3.9927404718693285,4.40251572327044
生技醫療業,6.155950752393981,7.829181494661921,4.021164021164021,5.865102639296188,6.41025641025641,5.838815789473684,4.6923076923076925,3.0,3.509979353062629,2.935290193462308,2.7831715210355985,1.631116687578419,2.8708133971291865,3.4324942791762014,1.6201117318435754,2.1929824561403506
數位雲端,5.208333333333334,6.9306930693069315,3.4482758620689653,1.6,9.420289855072465,6.289308176100629,4.761904761904762,2.976190476190476,0.5555555555555556,2.083333333333333,1.9900497512437811,2.5210084033613445,4.850746268656716,3.8095238095238098,3.7688442211055273,2.9545454545454546
建材營造,6.720977596741344,9.264853977844915,5.13595166163142,5.964214711729622,3.7698412698412698,3.670634920634921,1.4763779527559056,0.8840864440078585,0.8823529411764706,2.551521099116781,1.6346153846153848,1.0587102983638113,3.2504780114722758,3.130929791271347,6.34469696969697,4.924242424242424
觀光餐旅,6.415094339622642,9.666666666666666,7.570977917981073,5.337078651685393,4.557640750670242,3.4324942791762014,1.7094017094017095,3.205128205128205,1.4799154334038054,2.636916835699797,1.7786561264822136,0.7590132827324478,1.7045454545454544,3.860294117647059,1.6863406408094435,2.127659574468085
文化創意業,7.446808510638298,1.5544041450777202,4.147465437788019,2.1551724137931036,6.584362139917696,4.059040590405904,4.676258992805756,4.166666666666666,1.7361111111111112,2.7777777777777777,2.430555555555556,1.6891891891891893,2.2435897435897436,2.2801302931596092,2.2435897435897436,2.2435897435897436
綠能環保,3.968253968253968,5.161290322580645,3.4682080924855487,5.555555555555555,3.1578947368421053,6.763285024154589,2.666666666666667,2.0,3.125,1.4545454545454546,1.6891891891891893,2.2435897435897436,3.216374269005848,1.8867924528301887,1.70316301703163,2.8446389496717726
資訊服務業,3.0120481927710845,3.072625698324022,2.21606648199446,1.6216216216216217,1.3123359580052494,0.7653061224489796,0.0,0.0,1.1520737327188941,2.0179372197309418,1.0683760683760684,1.4675052410901468,0.4008016032064128,1.183431952662722,3.474903474903475,3.5315985130111525
農業科技,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0
