horizon,group,n,mean,median,hit,t,p
1m,全部對作,23905,-0.004124055084490592,-0.0033650329188001926,0.4747542355155825,-5.956346225781083,2.615458080709886e-09
1m,小型,627,0.012765646799412906,0.0060321715817693855,0.529505582137161,2.6744097977820576,0.007681595127689958
1m,中型,6385,-0.001593866761238935,0.0,0.49005481597494127,-1.10612081529754,0.26871591047885446
1m,大型,16893,-0.005707260881280346,-0.004443684840198303,0.4669389688036465,-7.184070952782686,7.048742737867301e-13
3m,全部對作,23679,-0.00401191145574994,-0.0038015762633286654,0.48519785463913173,-3.105141789672076,0.0019041225239332608
3m,小型,622,0.02061061151550227,0.0057609055710181045,0.5241157556270096,2.2126533328990514,0.027284550261229567
3m,中型,6357,-0.0010463947185571025,-0.0031695721077653616,0.48890986314299195,-0.3879913493661178,0.6980354286814282
3m,大型,16700,-0.006057839550747172,-0.004282968832069356,0.48233532934131734,-4.102582983588823,4.105011168440834e-05
6m,全部對作,23265,-0.004797615934467135,-0.002927268633190705,0.4915538362346873,-2.3978909871146503,0.016497602384594322
6m,小型,618,0.016301494391702098,0.010575716916413902,0.517799352750809,1.0097389025160481,0.3130162108717739
6m,中型,6300,0.002784831222158126,0.003936054212846152,0.506031746031746,0.7168759723648163,0.47347720837062773
6m,大型,16347,-0.008517483021291121,-0.004873526055534372,0.48498195387532883,-3.6345162737045476,0.00027935673537031507
12m,全部對作,22130,-0.019326009864048633,-0.013933284983958072,0.4799819249887031,-5.852782943964322,4.902337156709664e-09
12m,小型,595,0.021573537615539675,0.00768639508070712,0.5042016806722689,0.8771808963955572,0.3807430171493159
12m,中型,6059,-0.0018448496787008678,-0.006901084456128803,0.49100511635583427,-0.3054474214577803,0.7600359035759247
12m,大型,15476,-0.02774249864108256,-0.01665362330779585,0.47473507366244505,-6.980445801893713,3.0620252925610437e-12
