month,小型,中型,大型
1,1.2765646799412909,-0.15938667612389348,-0.5707260881280347
2,1.6312415824017572,-0.05990596531110648,-0.4283339929501715
3,2.0610611515502275,-0.10463947185571026,-0.6057839550747172
4,2.257152778559622,0.18823582431728667,-0.8423421342239449
5,1.9701009811806305,-0.16669053961031155,-0.9008962813355118
6,1.6301494391702098,0.27848312221581256,-0.8517483021291121
7,1.7188961875653705,-0.1723326547076087,-1.0992735631086377
8,1.9665004421405359,-0.3153012741621922,-1.2848081619059224
9,1.4877426335035753,-0.05747493915616873,-1.3628393443022304
10,1.5295796847163465,-0.175243756241365,-2.0997864597385276
11,1.83231772616342,-0.0174716808855238,-2.3279798618855327
12,2.1573537615539675,-0.18448496787008686,-2.774249864108256
