year,1m,3m,6m,12m
2010,-0.5458002865332141,-0.9175436499643936,-0.6027178618680148,-3.2861516167253093
2011,-1.121690021092255,1.183357886125966,-1.6744084970519748,-2.313541196818606
2012,-0.4359673976056483,-0.22632565357492748,1.7648435419179473,4.47522725782908
2013,-0.012265548542001958,-0.18508884001087217,1.2546458244678675,2.3669508318341714
2014,-0.19799747519401814,0.509913686215705,1.2981761566013967,1.8425876588299281
2015,-0.29256711639965877,-0.7212344571897339,-2.4354983837961717,-2.4273920486511327
2016,-0.3369291152604037,-0.724146460459401,-0.5733531508450107,-0.9524867423735752
2017,0.4474319155210078,1.0106530741229751,0.23067168943646105,0.07622064007613251
2018,-0.9221237507012512,-1.2714882614071703,-0.32589550421776725,-4.3336471352428685
2019,-0.05738236208948273,0.4060264430717303,0.5620598186615173,-2.7958853595639157
2020,-0.04082366877239783,-0.953475233958336,-3.60502837547084,-14.147682548135801
2021,-1.8797981141424418,-3.8197559463092507,-4.401950610068964,-3.6537229293292985
2022,-1.2907764114653646,-0.18052636360712762,-1.023604378811855,-7.308360692314668
2023,-1.2496614374040211,-3.489620591691178,-3.881859851407442,-6.03836513324829
2024,-0.42400604550406096,0.07178420894695735,0.7831334880639902,0.03916002444994587
2025,-0.036623952519928435,0.3651511070078688,0.7546905420847515,
